,Day,variable,value,Group
0,0,0,0.034559,random
1,1,0,0.041752,random
2,2,0,0.032278,random
3,3,0,0.035156,random
4,4,0,0.041814,random
5,5,0,0.028183,random
6,6,0,0.030322,random
7,7,0,0.03175,random
8,8,0,0.039715,random
9,9,0,0.040389,random
10,10,0,0.027147,random
11,11,0,0.032738,random
12,12,0,0.028574,random
13,13,0,0.041749,random
14,14,0,0.03191,random
15,15,0,0.035011,random
16,16,0,0.039174,random
17,17,0,0.026037,random
18,18,0,0.043114,random
19,19,0,0.031581,random
20,20,0,0.033933,random
21,21,0,0.035428,random
22,22,0,0.029065,random
23,23,0,0.030194,random
24,24,0,0.036309,random
25,0,1,0.03211,random
26,1,1,0.026767,random
27,2,1,0.034316,random
28,3,1,0.031081,random
29,4,1,0.038791,random
30,5,1,0.026626,random
31,6,1,0.033406,random
32,7,1,0.03416,random
33,8,1,0.042318,random
34,9,1,0.033979,random
35,10,1,0.02721,random
36,11,1,0.037082,random
37,12,1,0.024373,random
38,13,1,0.032641,random
39,14,1,0.036705,random
40,15,1,0.043416,random
41,16,1,0.03568,random
42,17,1,0.033559,random
43,18,1,0.03069,random
44,19,1,0.035038,random
45,20,1,0.033575,random
46,21,1,0.030721,random
47,22,1,0.03582,random
48,23,1,0.03752,random
49,24,1,0.037576,random
50,0,2,0.031535,random
51,1,2,0.030932,random
52,2,2,0.029069,random
53,3,2,0.035257,random
54,4,2,0.034058,random
55,5,2,0.024681,random
56,6,2,0.034794,random
57,7,2,0.031834,random
58,8,2,0.02703,random
59,9,2,0.030992,random
60,10,2,0.034035,random
61,11,2,0.028512,random
62,12,2,0.031245,random
63,13,2,0.04715,random
64,14,2,0.036377,random
65,15,2,0.034733,random
66,16,2,0.025757,random
67,17,2,0.049397,random
68,18,2,0.027899,random
69,19,2,0.027555,random
70,20,2,0.033311,random
71,21,2,0.031145,random
72,22,2,0.034414,random
73,23,2,0.031842,random
74,24,2,0.036765,random
75,0,3,0.033268,random
76,1,3,0.026031,random
77,2,3,0.027007,random
78,3,3,0.038534,random
79,4,3,0.034695,random
80,5,3,0.027246,random
81,6,3,0.037932,random
82,7,3,0.029005,random
83,8,3,0.027866,random
84,9,3,0.044267,random
85,10,3,0.029452,random
86,11,3,0.03019,random
87,12,3,0.031056,random
88,13,3,0.02946,random
89,14,3,0.035083,random
90,15,3,0.03479,random
91,16,3,0.030844,random
92,17,3,0.039331,random
93,18,3,0.02774,random
94,19,3,0.029299,random
95,20,3,0.03871,random
96,21,3,0.031705,random
97,22,3,0.041332,random
98,23,3,0.029706,random
99,24,3,0.020484,random
100,0,4,0.031806,random
101,1,4,0.032183,random
102,2,4,0.033105,random
103,3,4,0.046088,random
104,4,4,0.039797,random
105,5,4,0.042917,random
106,6,4,0.032679,random
107,7,4,0.037008,random
108,8,4,0.031208,random
109,9,4,0.032371,random
110,10,4,0.032586,random
111,11,4,0.02983,random
112,12,4,0.035801,random
113,13,4,0.031336,random
114,14,4,0.034632,random
115,15,4,0.043905,random
116,16,4,0.02875,random
117,17,4,0.03847,random
118,18,4,0.045693,random
119,19,4,0.029463,random
120,20,4,0.040842,random
121,21,4,0.029035,random
122,22,4,0.029112,random
123,23,4,0.037115,random
124,24,4,0.036119,random
125,0,5,0.027812,random
126,1,5,0.033114,random
127,2,5,0.032782,random
128,3,5,0.039171,random
129,4,5,0.027666,random
130,5,5,0.046128,random
131,6,5,0.023605,random
132,7,5,0.035204,random
133,8,5,0.036116,random
134,9,5,0.031442,random
135,10,5,0.035884,random
136,11,5,0.027962,random
137,12,5,0.035475,random
138,13,5,0.035787,random
139,14,5,0.032152,random
140,15,5,0.03217,random
141,16,5,0.034151,random
142,17,5,0.036947,random
143,18,5,0.032482,random
144,19,5,0.029859,random
145,20,5,0.029128,random
146,21,5,0.035229,random
147,22,5,0.037066,random
148,23,5,0.040757,random
149,24,5,0.047761,random
150,0,6,0.032501,random
151,1,6,0.032269,random
152,2,6,0.036885,random
153,3,6,0.030698,random
154,4,6,0.032986,random
155,5,6,0.031003,random
156,6,6,0.030498,random
157,7,6,0.03297,random
158,8,6,0.029799,random
159,9,6,0.028147,random
160,10,6,0.036206,random
161,11,6,0.035888,random
162,12,6,0.03647,random
163,13,6,0.035311,random
164,14,6,0.030363,random
165,15,6,0.032722,random
166,16,6,0.029343,random
167,17,6,0.043375,random
168,18,6,0.027017,random
169,19,6,0.034118,random
170,20,6,0.027526,random
171,21,6,0.033986,random
172,22,6,0.038883,random
173,23,6,0.035893,random
174,24,6,0.027924,random
175,0,7,0.028043,random
176,1,7,0.031653,random
177,2,7,0.031252,random
178,3,7,0.035123,random
179,4,7,0.038927,random
180,5,7,0.043836,random
181,6,7,0.032281,random
182,7,7,0.024503,random
183,8,7,0.027123,random
184,9,7,0.03271,random
185,10,7,0.029326,random
186,11,7,0.027659,random
187,12,7,0.032725,random
188,13,7,0.025373,random
189,14,7,0.029726,random
190,15,7,0.036798,random
191,16,7,0.034984,random
192,17,7,0.031858,random
193,18,7,0.03385,random
194,19,7,0.037134,random
195,20,7,0.02692,random
196,21,7,0.053931,random
197,22,7,0.039657,random
198,23,7,0.031978,random
199,24,7,0.042898,random
200,0,8,0.032123,random
201,1,8,0.034798,random
202,2,8,0.032472,random
203,3,8,0.036507,random
204,4,8,0.034907,random
205,5,8,0.0349,random
206,6,8,0.028026,random
207,7,8,0.04327,random
208,8,8,0.031201,random
209,9,8,0.028127,random
210,10,8,0.029461,random
211,11,8,0.031556,random
212,12,8,0.031431,random
213,13,8,0.031129,random
214,14,8,0.039054,random
215,15,8,0.030881,random
216,16,8,0.032036,random
217,17,8,0.031341,random
218,18,8,0.04799,random
219,19,8,0.034835,random
220,20,8,0.038011,random
221,21,8,0.033354,random
222,22,8,0.030904,random
223,23,8,0.0423,random
224,24,8,0.038596,random
