Day,variable,value,Group
0,0,0.024511,sequence
1,0,0.02895,sequence
2,0,0.019152,sequence
3,0,0.020237,sequence
4,0,0.020568,sequence
5,0,0.020297,sequence
6,0,0.019641,sequence
7,0,0.018937,sequence
8,0,0.019982,sequence
9,0,0.019575,sequence
10,0,0.02067,sequence
11,0,0.01999,sequence
12,0,0.019305,sequence
13,0,0.021033,sequence
14,0,0.022894,sequence
15,0,0.020474,sequence
16,0,0.02023,sequence
17,0,0.021672,sequence
18,0,0.01979,sequence
19,0,0.019558,sequence
20,0,0.01956,sequence
21,0,0.024356,sequence
22,0,0.019025,sequence
23,0,0.02375,sequence
24,0,0.019056,sequence
0,1,0.032852,sequence
1,1,0.029321,sequence
2,1,0.027635,sequence
3,1,0.023537,sequence
4,1,0.02204,sequence
5,1,0.024255,sequence
6,1,0.02802,sequence
7,1,0.025217,sequence
8,1,0.020764,sequence
9,1,0.023162,sequence
10,1,0.023434,sequence
11,1,0.025408,sequence
12,1,0.021008,sequence
13,1,0.022298,sequence
14,1,0.027844,sequence
15,1,0.019414,sequence
16,1,0.02365,sequence
17,1,0.022468,sequence
18,1,0.021717,sequence
19,1,0.020126,sequence
20,1,0.019109,sequence
21,1,0.019926,sequence
22,1,0.019442,sequence
23,1,0.020967,sequence
24,1,0.019236,sequence
0,2,0.043929,sequence
1,2,0.026803,sequence
2,2,0.026803,sequence
3,2,0.027985,sequence
4,2,0.036462,sequence
5,2,0.037265,sequence
6,2,0.032861,sequence
7,2,0.029673,sequence
8,2,0.022684,sequence
9,2,0.030058,sequence
10,2,0.030569,sequence
11,2,0.022373,sequence
12,2,0.024778,sequence
13,2,0.028004,sequence
14,2,0.024259,sequence
15,2,0.020465,sequence
16,2,0.022087,sequence
17,2,0.022246,sequence
18,2,0.019567,sequence
19,2,0.027414,sequence
20,2,0.022216,sequence
21,2,0.021081,sequence
22,2,0.024873,sequence
23,2,0.017857,sequence
24,2,0.018105,sequence
0,3,0.023695,sequence
1,3,0.026815,sequence
2,3,0.021488,sequence
3,3,0.020188,sequence
